turn_id,query
137_1-1,What do you think about Bostrom's 'simulation argument'? 
137_1-3,Which of Bostrom's 'simulation argument' trilemma is most likely? 
137_1-5,What do other philosophers think about Bostrom's 'simulation argument'? 
137_1-7,How would we know that we are living in a simulation?
147_1-13,What is Marvel Studios’ approach to diversity?
147_2-1,What is Marvel Studios’ approach to diversity for people of color?
147_2-5,Is it really the case that diversity is to blame for Marvel’s dwindling sales?
91_1,What is the purpose of the General Data Protection Regulation (GDPR)?
91_3,What are the privacy implications of social networks and cloud computing?
91_5,How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?
91_6,OK. Tell me about the privacy issues in social networks.
91_7,What do users of social networks get in return for by giving up their privacy?
91_8,What are the symptoms of social network addiction?
82_1,I would like to learn about GMO Food labeling.
82_2,What are the pros and cons of GMO food labeling?
82_3,What are the cons of GMO food labeling?
82_7,How is food tested for GMO contamination?
98_1,What is the environmental cost of food production?
98_2,Oh that much water? How much water is used in meat production?
98_3,How much less water is used to produce vegetables compared to meat?
98_4,What are the benefits of being vegetarian to the environment?
98_5,Are there any health concerns of being vegetarian?
105_1,When did the Black Lives Matter campaign begin?
105_6,What was the US reaction to the Black Lives Matter movement?
105_7,Tell me more about the Blue Lives Matter movement.
105_9,What else motivates the Black Lives Matter movement?
149_1-1,Are search engines biased?
149_1-5,"Yes, in what ways can search engines be biased ideologically?"
149_2-1,"Yes, in what ways can search engines be biased racially?"
149_2-5,Are algorithms really biased against people of colour
149_3-3,"Um, what is search neutrality?"
84_3,How does an angel investment round compare with crowdfunding?
84_5,What are the risks of investing in startups?
85_2,How does a Lamborghini compare to a Ferrari?
88_1,Can I have some information on the labor systems of the Ottoman Empire?
88_2,What was the role of slavery in the labor system of the Ottoman Empire?
88_4,Why was the Ottoman Empire important?
88_5,What was the culture like in the Ottoman Empire?
83_3,Why are so many bees dying?
83_4,What can be done to stop bees from dying?
83_8,What would happen if the bees died out?
103_1,Why were the Grateful Dead such an influential live band?
101_7,Does the public pay the First Lady of the United States?
101_8,Does the public pay Ivanka Trump?
101_9,Does the public pay Jared Kushner?
95_2,Interesting. What is the impact of burning waste and garbage on the environment?
95_3,Why does waste compaction slow the biodegradation of organic waste?
95_5,What are the pros and cons of recycling vs composting garbage?
102_4,When did the government start borrowing from social security?
102_5,How much money is owed to social security?
102_6,When will social security run out of money?
102_7,Wow! What will happen if social security runs out of money?
102_8,Can social security be fixed?
102_9,How much of a tax increase will keep social security solvent?
136_1-1,What was the basis of the Watergate scandal?
136_1-11,What effects did the Watergate scandal have on US politics?
136_1-13,What effects did the Watergate scandal have on President Nixon's legacy?
136_1-9,So what happened to Nixon after the events of the Watergate scandal?
142_1-3,What makes Buenos Aires the culture capital of South America?
142_3-5,"Thanks, but I’m not asking about clothing. Why is tango important to the history of Argentina?"
143_1-17,What is the regulatory environment for cryptocurrencies in Europe?
143_1-19,"Wow, tell me about some high-profile scandals involving cryptocurrencies."
132_2-1,That’s interesting. Tell me more about how climate change affects developing countries.
132_2-3,"Okay, but how does climate change affect developing countries?"
132_2-5,How are developed countries helping developing countries adapt to climate change?
132_3-1,Why did President Trump intend to withdraw the US from the Paris Agreement?
132_3-3,How did other parties to the Paris Agreement feel about Trump’s intention of withdrawing the US from it?
132_3-5,Where does the US stand on the Paris Agreement now that Biden is the President?
138_1-1,My son is 16 and super shy and awkward. How do I build his self-esteem?
138_1-11,How do I prevent social media from impacting my son's self-esteem?
138_1-3,How do I build my son's self-esteem when criticism is unavoidable?
138_1-9,Do you think social media might play a role in my son's low self-esteem?
148_1-1,Tech salaries are all the rave now. How do I break into the tech industry?
148_1-3,How would education have a positive impact on my tech career?
145_1-1,What is happening to the corals?
145_1-3,What happens when all corals die?
145_1-5,What is the impact of dead corals on humans?
145_2-1,What happens when corals die and the carbon falls into the ocean?
144_1-1,What does SpaceX's rocket engine reusability mean and why do they care?
144_1-3,When did people first start caring about rocket engine reusability?
144_2-1,What are SpaceX's plans for rocket reusability?