Input.turn_id,Input.query,Answer.broadness.option_1,Answer.broadness.option_2,Answer.broadness.option_3,Answer.broadness.option_4,Answer.broadness.option_5,"Answer,broadness,avg",Answer.controversy.option_1,Answer.controversy.option_2,Answer.controversy.option_3,Answer.controversy.option_4,Answer.controversy.option_5,"Answer,controversy,avg",Scores avg
137_1-5,What do other philosophers think about Bostrom's 'simulation argument'?,0,1,0,2,2,"4,0",0,0,0,0,5,"5,0","4,5"
105_6,What was the US reaction to the Black Lives Matter movement?,0,2,2,0,1,"3,0",0,0,0,1,4,"4,8","3,9"
102_8,Can social security be fixed?,0,0,3,1,1,"3,6",0,0,0,2,3,"4,6","4,1"
105_9,What else motivates the Black Lives Matter movement?,0,0,3,2,0,"3,4",0,0,0,2,3,"4,6","4,0"
149_2-5,Are algorithms really biased against people of colour,0,2,2,0,1,"3,0",0,0,0,2,3,"4,6","3,8"
147_2-5,Is it really the case that diversity is to blame for Marvel’s dwindling sales?,1,1,3,0,0,"2,4",0,0,1,0,4,"4,6","3,5"
105_7,Tell me more about the Blue Lives Matter movement.,0,1,1,3,0,"3,4",0,0,1,1,3,"4,4","3,9"
132_3-1,Why did President Trump intend to withdraw the US from the Paris Agreement?,2,2,1,0,0,"1,8",0,1,0,0,4,"4,4","3,1"
98_4,What are the benefits of being vegetarian to the environment?,0,1,2,0,2,"3,6",0,0,1,2,2,"4,2","3,9"
137_1-7,How would we know that we are living in a simulation?,0,1,2,0,2,"3,6",0,0,1,2,2,"4,2","3,9"
98_1,What is the environmental cost of food production?,0,1,1,2,1,"3,6",0,0,0,4,1,"4,2","3,9"
136_1-13,What effects did the Watergate scandal have on President Nixon's legacy?,0,1,3,0,1,"3,2",0,0,1,2,2,"4,2","3,7"
149_2-1,"Yes, in what ways can search engines be biased racially?",0,2,2,0,1,"3,0",0,0,1,2,2,"4,2","3,6"
138_1-9,Do you think social media might play a role in my son's low self-esteem?,0,2,2,0,1,"3,0",0,0,2,0,3,"4,2","3,6"
137_1-3,Which of Bostrom's 'simulation argument' trilemma is most likely?,2,1,1,1,0,"2,2",0,0,1,2,2,"4,2","3,2"
149_1-1,Are search engines biased?,0,0,1,1,3,"4,4",0,0,1,3,1,"4,0","4,2"
136_1-11,What effects did the Watergate scandal have on US politics?,0,0,2,2,1,"3,8",0,0,2,1,2,"4,0","3,9"
91_7,What do users of social networks get in return for by giving up their privacy?,0,1,1,2,1,"3,6",0,0,2,1,2,"4,0","3,8"
147_2-1,What is Marvel Studios’ approach to diversity for people of color?,0,2,0,2,1,"3,4",0,0,2,1,2,"4,0","3,7"
149_1-5,"Yes, in what ways can search engines be biased ideologically?",0,2,1,1,1,"3,2",0,0,1,3,1,"4,0","3,6"
102_7,Wow! What will happen if social security runs out of money?,0,1,2,2,0,"3,2",0,0,2,1,2,"4,0","3,6"
82_2,What are the pros and cons of GMO food labeling?,0,0,4,1,0,"3,2",0,1,1,0,3,"4,0","3,6"
132_3-3,How did other parties to the Paris Agreement feel about Trump’s intention of withdrawing the US from it?,2,2,0,1,0,"2,0",0,1,1,0,3,"4,0","3,0"
102_9,How much of a tax increase will keep social security solvent?,1,4,0,0,0,"1,8",0,0,2,1,2,"4,0","2,9"
132_2-1,That’s interesting. Tell me more about how climate change affects developing countries.,0,0,2,1,2,"4,0",1,0,0,2,2,"3,8","3,9"
102_6,When will social security run out of money?,1,0,2,0,2,"3,4",1,0,0,2,2,"3,8","3,6"
98_5,Are there any health concerns of being vegetarian?,1,2,0,0,2,"3,0",0,1,1,1,2,"3,8","3,4"
82_3,What are the cons of GMO food labeling?,0,3,1,1,0,"2,6",0,0,1,4,0,"3,8","3,2"
137_1-1,What do you think about Bostrom's 'simulation argument'?,3,1,1,0,0,"1,6",0,0,2,2,1,"3,8","2,7"
85_2,How does a Lamborghini compare to a Ferrari?,1,0,2,1,1,"3,2",0,0,2,3,0,"3,6","3,4"
132_2-3,"Okay, but how does climate change affect developing countries?",0,0,2,2,1,"3,8",0,2,0,2,1,"3,4","3,6"
83_8,What would happen if the bees died out?,1,0,0,4,0,"3,4",0,1,2,1,1,"3,4","3,4"
91_3,What are the privacy implications of social networks and cloud computing?,0,1,2,1,1,"3,4",0,1,2,1,1,"3,4","3,4"
143_1-19,"Wow, tell me about some high-profile scandals involving cryptocurrencies.",1,2,0,1,1,"2,8",0,0,4,0,1,"3,4","3,1"
88_2,What was the role of slavery in the labor system of the Ottoman Empire?,1,2,1,0,1,"2,6",1,0,2,0,2,"3,4","3,0"
95_2,Interesting. What is the impact of burning waste and garbage on the environment?,0,2,1,1,1,"3,2",0,1,2,2,0,"3,2","3,2"
91_8,What are the symptoms of social network addiction?,1,1,2,1,0,"2,6",0,1,2,2,0,"3,2","2,9"
147_1-13,What is Marvel Studios’ approach to diversity?,1,2,1,1,0,"2,4",1,1,1,0,2,"3,2","2,8"
132_3-5,Where does the US stand on the Paris Agreement now that Biden is the President?,1,3,1,0,0,"2,0",1,1,0,2,1,"3,2","2,6"
91_6,OK. Tell me about the privacy issues in social networks.,0,0,0,3,2,"4,4",0,1,3,1,0,"3,0","3,7"
132_2-5,How are developed countries helping developing countries adapt to climate change?,0,0,3,0,2,"3,8",1,1,1,1,1,"3,0","3,4"
83_3,Why are so many bees dying?,0,0,3,1,1,"3,6",0,3,0,1,1,"3,0","3,3"
84_5,What are the risks of investing in startups?,0,0,2,3,0,"3,6",0,2,2,0,1,"3,0","3,3"
138_1-1,My son is 16 and super shy and awkward. How do I build his self-esteem?,1,1,0,0,3,"3,6",0,3,0,1,1,"3,0","3,3"
145_1-1,What is happening to the corals?,0,0,0,3,2,"4,4",0,3,1,0,1,"2,8","3,6"
138_1-11,How do I prevent social media from impacting my son's self-esteem?,0,0,2,1,2,"4,0",1,0,3,1,0,"2,8","3,4"
95_5,What are the pros and cons of recycling vs composting garbage?,0,0,3,1,1,"3,6",1,1,2,0,1,"2,8","3,2"
145_1-5,What is the impact of dead corals on humans?,0,1,3,1,0,"3,0",1,1,1,2,0,"2,8","2,9"
136_1-9,So what happened to Nixon after the events of the Watergate scandal?,4,1,0,0,0,"1,2",2,0,1,1,1,"2,8","2,0"
145_1-3,What happens when all corals die?,0,2,1,2,0,"3,0",1,2,0,2,0,"2,6","2,8"
82_7,How is food tested for GMO contamination?,1,3,1,0,0,"2,0",1,1,2,1,0,"2,6","2,3"
148_1-3,How would education have a positive impact on my tech career?,0,1,1,1,2,"3,8",1,3,0,0,1,"2,4","3,1"
149_3-3,"Um, what is search neutrality?",2,1,0,0,2,"2,8",2,0,2,1,0,"2,4","2,6"
105_1,When did the Black Lives Matter campaign begin?,1,3,1,0,0,"2,0",1,3,0,0,1,"2,4","2,2"
88_4,Why was the Ottoman Empire important?,1,1,0,1,2,"3,4",1,3,0,1,0,"2,2","2,8"
136_1-1,What was the basis of the Watergate scandal?,1,0,2,1,1,"3,2",1,3,0,1,0,"2,2","2,7"
83_4,What can be done to stop bees from dying?,0,2,2,1,0,"2,8",1,2,2,0,0,"2,2","2,5"
84_3,How does an angel investment round compare with crowdfunding?,1,2,1,0,1,"2,6",1,2,2,0,0,"2,2","2,4"
101_9,Does the public pay Jared Kushner?,3,2,0,0,0,"1,4",2,1,1,1,0,"2,2","1,8"
88_5,What was the culture like in the Ottoman Empire?,0,1,0,3,1,"3,8",1,3,1,0,0,"2,0","2,9"
142_1-3,What makes Buenos Aires the culture capital of South America?,1,0,1,1,2,"3,6",1,3,1,0,0,"2,0","2,8"
82_1,I would like to learn about GMO Food labeling.,1,2,0,2,0,"2,6",3,0,1,1,0,"2,0","2,3"
98_3,How much less water is used to produce vegetables compared to meat?,1,1,3,0,0,"2,4",2,2,0,1,0,"2,0","2,2"
138_1-3,How do I build my son's self-esteem when criticism is unavoidable?,2,1,2,0,0,"2,0",1,3,1,0,0,"2,0","2,0"
91_1,What is the purpose of the General Data Protection Regulation (GDPR)?,2,2,1,0,0,"1,8",1,3,1,0,0,"2,0","1,9"
144_1-1,What does SpaceX's rocket engine reusability mean and why do they care?,2,2,1,0,0,"1,8",2,2,0,1,0,"2,0","1,9"
102_5,How much money is owed to social security?,4,0,1,0,0,"1,4",2,1,2,0,0,"2,0","1,7"
101_8,Does the public pay Ivanka Trump?,4,1,0,0,0,"1,2",1,3,1,0,0,"2,0","1,6"
145_2-1,What happens when corals die and the carbon falls into the ocean?,1,2,0,2,0,"2,6",2,2,1,0,0,"1,8","2,2"
144_1-3,When did people first start caring about rocket engine reusability?,2,1,1,0,1,"2,4",2,2,1,0,0,"1,8","2,1"
144_2-1,What are SpaceX's plans for rocket reusability?,2,1,1,1,0,"2,2",2,2,1,0,0,"1,8","2,0"
98_2,Oh that much water? How much water is used in meat production?,2,1,1,1,0,"2,2",3,1,0,1,0,"1,8","2,0"
142_3-5,"Thanks, but I’m not asking about clothing. Why is tango important to the history of Argentina?",2,1,1,1,0,"2,2",2,2,1,0,0,"1,8","2,0"
103_1,Why were the Grateful Dead such an influential live band?,1,3,1,0,0,"2,0",4,0,0,0,1,"1,8","1,9"
148_1-1,Tech salaries are all the rave now. How do I break into the tech industry?,0,0,2,2,1,"3,8",2,3,0,0,0,"1,6","2,7"
143_1-17,What is the regulatory environment for cryptocurrencies in Europe?,1,0,3,0,1,"3,0",2,3,0,0,0,"1,6","2,3"
91_5,How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?,1,2,0,0,2,"3,0",2,3,0,0,0,"1,6","2,3"
88_1,Can I have some information on the labor systems of the Ottoman Empire?,0,3,0,1,1,"3,0",3,2,0,0,0,"1,4","2,2"
101_7,Does the public pay the First Lady of the United States?,5,0,0,0,0,"1,0",3,2,0,0,0,"1,4","1,2"
102_4,When did the government start borrowing from social security?,3,2,0,0,0,"1,4",4,1,0,0,0,"1,2","1,3"
95_3,Why does waste compaction slow the biodegradation of organic waste?,3,2,0,0,0,"1,4",4,1,0,0,0,"1,2","1,3"